year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,5,>5
2017.0,54264,18.9,1197.0,81.86,6.0,5.4588194834362715,5.212692307692308,0,0,0,0,0,1,1,1,0
2018.0,30000,16.55,2498.0,105.0,5.0,7.315421238244514,8.593928571428572,0,0,1,0,0,0,1,0,1
2018.0,19000,26.82,1498.0,93.87,5.0,4.684721460176991,8.133333333333333,0,0,1,0,0,0,1,1,0
2013.0,180000,20.54,1598.0,103.6,10.0,5.540305519053876,3.9655555555555555,1,0,1,0,0,0,1,1,0
2018.0,16000,22.0,1197.0,81.8,5.0,4.684721460176991,5.607857142857143,0,0,0,0,0,1,1,1,0
2011.0,36000,15.6,1196.0,70.0,12.0,5.858258333333332,2.4000000000000004,1,0,0,0,0,1,1,1,0
2019.0,9915,22.0,1582.0,126.2,4.0,5.4588194834362715,12.735714285714286,0,0,1,0,0,0,0,1,0
2016.0,47000,21.66,1498.0,103.52,7.0,7.182097156398103,7.409999999999999,0,0,1,0,0,0,0,1,0
2018.0,44000,17.0,1591.0,121.3,5.0,5.4588194834362715,9.521304347826087,1,0,0,0,0,1,1,1,0
2012.0,61785,17.0,1086.0,5.0,11.0,5.4588194834362715,1.8333333333333333,0,0,0,0,0,0,1,1,0
2018.0,49500,23.84,1199.0,84.0,5.0,4.381194170957776,4.617837837837838,1,0,0,0,0,1,1,1,0
2018.0,10114,18.6,1197.0,81.86,5.0,5.4588194834362715,6.461,0,0,0,0,0,1,1,1,0
2018.0,21000,21.4,1197.0,83.1,5.0,4.684721460176991,5.669622641509434,0,0,0,0,0,1,1,1,0
2013.0,70000,16.2,995.0,62.1,10.0,2.7236206896551725,1.3984,1,0,0,0,0,1,1,1,0
2011.0,50000,14.21,2143.0,203.0,12.0,17.07147938144328,14.86,0,0,1,0,0,0,0,1,0
1998.0,70000,16.1,796.0,37.0,25.0,4.684721460176991,0.8880783333333334,1,0,0,0,0,1,1,0,0
2006.0,120000,13.6,2523.0,63.0,17.0,7.315421238244514,3.5,1,0,1,0,0,0,1,0,1
2014.0,102000,19.3,1248.0,73.9,9.0,4.684721460176991,5.282048611111112,0,0,1,0,0,0,1,1,0
2018.0,21000,18.9,1197.0,81.86,5.0,5.4588194834362715,5.07551724137931,0,0,0,0,0,1,1,1,0
2012.0,214000,23.59,1364.0,5.0,11.0,10.532762825904118,4.617,1,0,1,0,0,0,1,1,0
2018.0,36000,18.51,1968.0,147.51,5.0,17.177584876543193,20.90249999999996,0,0,1,0,0,0,0,1,0
2010.0,90000,20.36,1197.0,78.9,13.0,5.4588194834362715,2.7842307692307693,0,0,0,0,0,1,1,1,0
2016.0,100000,28.09,1248.0,88.5,7.0,4.684721460176991,6.8917241379310346,1,0,1,0,0,0,1,1,0
2018.0,37000,19.34,1462.0,103.0,5.0,4.684721460176991,8.077777777777778,0,0,0,0,0,1,1,0,1
2016.0,47000,25.17,799.0,53.3,7.0,4.606650943396226,3.145,0,0,0,0,0,1,1,1,0
2017.0,72456,18.49,1493.0,100.0,6.0,7.315421238244514,5.414285714285714,0,0,1,0,0,0,1,0,1
2010.0,120000,12.8,2494.0,102.0,13.0,10.532762825904118,7.691666666666666,1,0,1,0,0,0,1,0,1
2013.0,60000,13.5,2987.0,282.0,10.0,17.07147938144328,20.213749999999965,1,0,1,0,0,0,0,1,0
2015.0,64907,19.67,1582.0,126.2,8.0,5.4588194834362715,10.260227272727272,0,0,1,0,0,0,1,1,0
2020.0,5000,26.32,1498.0,93.87,3.0,4.684721460176991,7.9375,1,0,1,0,0,0,1,1,0
2007.0,50000,18.2,998.0,67.1,16.0,4.684721460176991,1.505,1,0,0,0,0,1,1,1,0
2017.0,11000,23.95,998.0,67.05,6.0,4.684721460176991,3.1449586776859504,0,0,0,0,0,1,1,1,0
2016.0,40000,18.12,1995.0,190.0,7.0,17.34901656314698,20.90249999999996,0,0,1,0,0,0,0,1,0
2015.0,50000,18.9,1197.0,82.0,8.0,5.4588194834362715,4.075333333333334,1,0,0,0,0,1,1,1,0
2013.0,77000,17.21,1493.0,100.0,10.0,7.315421238244514,3.016666666666667,0,0,1,0,0,0,1,0,1
2016.0,54000,24.3,1248.0,88.5,7.0,4.684721460176991,8.420555555555556,0,0,1,0,0,0,1,1,0
2010.0,110000,12.05,2179.0,120.0,13.0,7.315421238244514,4.8100000000000005,0,0,1,0,0,0,1,0,1
2017.0,7500,18.9,1197.0,81.86,6.0,5.4588194834362715,4.45,0,0,0,0,0,1,1,1,0
2014.0,68880,20.77,1248.0,88.76,9.0,4.684721460176991,6.3029629629629635,0,0,1,0,0,0,1,0,1
2011.0,53000,20.51,998.0,67.04,12.0,4.684721460176991,2.4587774725274727,0,0,0,0,0,1,1,1,0
2008.0,77000,13.9,1599.0,103.2,15.0,5.4588194834362715,2.25,0,0,0,0,0,1,1,1,0
2012.0,98000,12.07,2967.0,241.4,11.0,17.177584876543193,20.690312499999976,0,0,1,0,0,0,0,0,1
2019.0,11200,17.4,1497.0,117.6,4.0,5.9799016301292856,12.1,0,0,0,0,0,1,0,1,0
2017.0,20000,18.49,1493.0,100.0,6.0,7.315421238244514,8.416666666666666,1,0,1,0,0,0,1,0,1
2016.0,64000,20.52,1197.0,81.8,7.0,4.684721460176991,4.231111111111111,0,0,0,0,0,1,1,1,0
2016.0,57000,22.54,1396.0,88.73,7.0,5.4588194834362715,6.225555555555555,1,0,1,0,0,0,1,1,0
2020.0,1800,19.5,1199.0,88.76,3.0,5.9799016301292856,6.645,1,0,0,0,0,1,1,1,0
2012.0,40000,21.64,1461.0,84.8,11.0,4.611877162629757,3.4813043478260868,0,0,1,0,0,0,1,1,0
2016.0,50000,23.95,998.0,67.05,7.0,4.684721460176991,3.1449586776859504,1,0,0,0,0,1,1,1,0
2017.0,20000,19.0,1199.0,88.7,6.0,5.9799016301292856,6.832727272727272,0,0,0,0,0,1,0,1,0
2013.0,44000,20.54,1598.0,103.6,10.0,5.540305519053876,3.754318181818182,0,0,1,0,0,0,1,1,0
2016.0,20000,22.0,1197.0,81.8,7.0,4.684721460176991,4.832727272727272,0,0,0,0,0,1,1,1,0
2012.0,56702,22.32,1582.0,126.32,11.0,5.4588194834362715,5.2674,0,0,1,0,0,0,1,1,0
2014.0,46000,18.0,1198.0,86.7,9.0,5.9799016301292856,4.386666666666667,1,0,0,0,0,1,1,1,0
2014.0,103431,24.0,1120.0,70.0,9.0,5.4588194834362715,3.6963333333333335,0,0,1,0,0,0,1,1,0
2011.0,76500,20.0,1399.0,68.05,12.0,5.858258333333332,2.778,0,0,1,0,0,0,1,1,0
2020.0,11000,22.05,796.0,47.3,3.0,4.684721460176991,2.646137566137566,1,0,0,0,0,1,1,1,0
2008.0,60859,17.0,1086.0,5.0,15.0,5.4588194834362715,2.25,0,0,0,0,0,1,1,1,0
2018.0,32000,18.6,1197.0,81.83,5.0,5.4588194834362715,6.2789743589743585,0,0,0,0,0,1,1,1,0
2016.0,120728,23.65,1248.0,88.5,7.0,4.684721460176991,6.2,0,0,1,0,0,0,1,1,0
2009.0,51000,17.0,1197.0,80.0,14.0,5.4588194834362715,3.394,0,0,0,0,0,1,1,1,0
2016.0,43652,18.16,1196.0,86.8,7.0,5.858258333333332,4.619999999999999,0,0,0,0,0,1,1,1,0
2012.0,25000,12.99,2494.0,100.0,11.0,10.532762825904118,9.833333333333334,1,0,1,0,0,0,1,0,1
2015.0,43696,21.1,814.0,55.2,8.0,5.4588194834362715,2.6386419753086416,0,0,0,0,0,1,1,1,0
2016.0,29836,20.51,998.0,67.04,7.0,4.684721460176991,3.329634146341463,0,0,0,0,0,1,1,1,0
2012.0,85000,18.48,17.0,5.0,11.0,17.34901656314698,13.521333333333333,0,0,1,0,0,0,0,1,0
2012.0,130000,12.55,2982.0,168.5,11.0,10.532762825904118,15.22369565217391,0,0,1,0,0,0,0,0,1
2018.0,60000,21.72,1498.0,108.6,5.0,7.182097156398103,9.120000000000001,0,0,1,0,0,0,0,1,0
